year,month,ph,o2,no3,po4,si,fe,spco2,to,so
2005,9,8.028727,216.93213,0.11208538,0.04548726,4.2917113,0.0017029513,40.11693,23.220007,33.87399
2005,10,8.063234,221.90002,0.0895409,0.05016699,4.13536,0.0015185702,36.560963,20.885103,33.985813
2005,11,8.097818,233.21957,0.25316352,0.075755425,3.938474,0.0013649943,33.286144,17.439411,34.175587
2005,12,8.11686,240.41011,1.0320196,0.13656148,4.102871,0.0013210868,31.748447,14.601255,34.289845
2006,1,8.120722,249.10388,1.6329663,0.18023573,4.160012,0.0013014956,31.421328,13.0914345,34.340584
2006,2,8.1195545,257.12537,1.9835845,0.21186279,4.228641,0.0012340238,31.487463,12.129082,34.337463
2006,3,8.120017,266.72272,1.815668,0.20716842,4.05475,0.0011712173,31.37383,11.919789,34.25268
2006,4,8.1051855,267.06744,0.77367306,0.12685703,3.4858258,0.0011761602,32.55754,13.882415,34.099144
2006,5,8.081805,253.94617,0.27959248,0.0804752,3.282995,0.0011328671,34.73007,16.245855,33.930553
2006,6,8.037114,236.54839,0.20577306,0.06153639,3.745174,0.0014360923,39.094093,19.896854,33.865707
2006,7,8.014599,222.96321,0.14007884,0.056086913,4.111334,0.0016287675,41.52249,23.012138,33.908646
2006,8,8.014556,216.34268,0.11856002,0.0512767,4.258554,0.0017123596,41.589222,24.073755,33.9376
2006,9,8.045805,218.03003,0.06418712,0.045173656,3.93149,0.001541316,38.281013,22.395716,34.060326
2006,10,8.074236,223.80315,0.09241712,0.050110888,3.8597505,0.001464032,35.52598,20.373594,34.171867
2006,11,8.103902,233.91959,0.32710493,0.07674174,3.6544416,0.0012895479,32.88939,17.43071,34.126232
2006,12,8.115681,238.80887,0.83059764,0.117960155,3.7545912,0.0012439522,31.93945,15.712342,34.343586
2007,1,8.117003,244.0557,1.7137198,0.18385781,4.1739798,0.0012591105,31.902853,13.89257,34.34468
2007,2,8.121122,252.22144,2.9057798,0.26536033,4.729483,0.0012223909,31.716494,11.646311,34.39044
2007,3,8.12617,262.78265,2.0063221,0.20722306,4.201072,0.0011658946,31.104181,11.253677,34.27304
2007,4,8.120341,261.87732,1.0540599,0.14170876,3.7035131,0.001125528,31.504614,12.251172,34.135883
2007,5,8.093059,253.63725,0.33417705,0.07978351,3.4454308,0.0012016833,33.877785,15.172191,33.764805
2007,6,8.056628,237.41537,0.18662216,0.062400766,3.7131288,0.0012967718,37.43043,18.53281,33.77325
2007,7,8.031731,223.89638,0.14710982,0.051851224,4.0019007,0.0015114172,39.998634,22.11097,33.911064
2007,8,8.024789,215.65924,0.1397569,0.04151018,4.0158925,0.0015735391,40.72223,23.548988,33.912426
2007,9,8.045169,216.10176,0.074763134,0.038276136,3.9250987,0.0015019595,38.55482,22.398882,33.964848
2007,10,8.069241,220.04437,0.07700742,0.04223881,3.9166446,0.0014569116,36.125145,20.571112,34.044224
2007,11,8.10312,228.2204,0.3735913,0.073950395,3.9495785,0.0013323488,33.05251,17.012938,34.14242
2007,12,8.121043,238.14864,1.1542217,0.14051335,4.28279,0.0013138707,31.58136,14.418913,34.374516
2008,1,8.123912,247.47778,1.6731465,0.18091732,4.356836,0.0012816224,31.286985,13.349415,34.48786
2008,2,8.121635,254.83229,1.9906205,0.2048869,4.357772,0.0012357346,31.433334,12.526674,34.398514
