Study,NST_Site,General Location,Specific Location,State Name,Region,Specific Region,Coastal Ecological Area,Latitude,Longitude,NST_Sample_ID,Station Letter,Sample Number,Fiscal Year,Condition Code,Condition Code Description,Sex,Gonadal Index,Gonadal Index Description,Length,Wet Weight,Full Displacement Volume,Empty Displacement Volume,Dermo,Dermo Infection Intensity,Dermo Numerical Value,Dermo Description,Gonad Subsample Wet Weight,Ceroid,Cestode Body,Cestode Gill,Cestode Mantle,Ciliate Digestive Tract,Ciliate Gut,Ciliate Large Gill,Ciliate Small Gill,Copepod Body,Copepod Gill,Copepod Gut Digestive Tubule,Nematode,Nematopsis Body,Nematopsis Gill,Nematopsis Mantle,Neoplasm,Pea Crab,Rickettsia Digestive Tubule,Rickettsia Gut,Proctoeces,Bucephalus,Trematode Metacercariae,Trematode Metacercariae Description,Diffuse Necrosis,Focal Necrosis,Diffuse Inflammation,Focal Inflammation,Digestive Tubule Atrophy,Digestive Tubule Atrophy Description,Multinucleated sphere X,Multinucleated sphere X Description,Xenoma,Edema,Hydra Gill,Nemertine Gill,Other trematode sporocyst gill,Other trematode sporocyst gut,Protozoan Digestive Tubule,Protozoan Gut,Tumor,Unidentified Gonoduct Organism,Unidentified Organism,Unusual Digestive Tubule
Mussel Watch,CBCP,Chesapeake Bay,Choptank River,Maryland,East Coast,Cape Hatteras to Delaware Bay,Upper Chesapeake Bay,38.6073,-76.12,MW1995CBCPCV,a,1,1995,,,Male,3,Oyster - 3 : Mid development,10.5,,1100,715,N,Negative,0,No hypnospores present,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,1,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBCP,Chesapeake Bay,Choptank River,Maryland,East Coast,Cape Hatteras to Delaware Bay,Upper Chesapeake Bay,38.6073,-76.12,MW1995CBCPCV,a,2,1995,,,Female,2,Oyster - 2 : Early development,8.9,,1100,715,N,Negative,0,No hypnospores present,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBCP,Chesapeake Bay,Choptank River,Maryland,East Coast,Cape Hatteras to Delaware Bay,Upper Chesapeake Bay,38.6073,-76.12,MW1995CBCPCV,a,3,1995,,,Female,2,Oyster - 2 : Early development,9.5,,1100,715,N,Negative,0,No hypnospores present,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBCP,Chesapeake Bay,Choptank River,Maryland,East Coast,Cape Hatteras to Delaware Bay,Upper Chesapeake Bay,38.6073,-76.12,MW1995CBCPCV,a,4,1995,,,Male,2,Oyster - 2 : Early development,10.3,,1100,715,N,Negative,0,No hypnospores present,,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBCP,Chesapeake Bay,Choptank River,Maryland,East Coast,Cape Hatteras to Delaware Bay,Upper Chesapeake Bay,38.6073,-76.12,MW1995CBCPCV,a,5,1995,,,Female,8,Oyster - 8 : Spawned: Few Gametes visible,10.3,,1100,715,VL,Very light,0.33,1-10 hypnospores,,42,0,0,0,0,0,0,34,0,0,0,3,0,0,0,0,0,0,2,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBDP,Chesapeake Bay,Dandy Point,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.0983,-76.2948,MW1995CBDPCV,a,1,1995,,,Female,2,Oyster - 2 : Early development,7,,145,80,L-,Light,0.67,11-74 hypnospores,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,2,Wall thickness averaging about one-half as thick as normal,0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBDP,Chesapeake Bay,Dandy Point,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.0983,-76.2948,MW1995CBDPCV,a,2,1995,,,Female,2,Oyster - 2 : Early development,4.3,,145,80,N,Negative,0,No hypnospores present,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,2,Wall thickness averaging about one-half as thick as normal,0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBDP,Chesapeake Bay,Dandy Point,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.0983,-76.2948,MW1995CBDPCV,a,3,1995,,,Indeterminate,1,Oyster - 1 : Sexually undifferentiated,4.2,,145,80,VL,Very light,0.33,1-10 hypnospores,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBDP,Chesapeake Bay,Dandy Point,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.0983,-76.2948,MW1995CBDPCV,a,4,1995,,,Female,2,Oyster - 2 : Early development,5.1,,145,80,N,Negative,0,No hypnospores present,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBDP,Chesapeake Bay,Dandy Point,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.0983,-76.2948,MW1995CBDPCV,a,5,1995,,,Female,2,Oyster - 2 : Early development,4.1,,145,80,L+,Light,1.33,>125 hypnospores but much less than 25% of tissue is hypnospores,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
